id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
CLI0000070,Yolanda,Castillo González,CC,232162205,1994-09-20,2024-07-14,BASICO,373.0,Soledad,Atlántico,ACTIVO,REFERIDO
CLI0000071,Luisa,Rivera Martínez,CC,89928335,1981-04-27,2024-11-30,ESTANDAR,536.0,Envigado,Antioquia,ACTIVO,
CLI0000072,Sergio,Vargas Castillo,CC,1077426190,1974-10-05,2024-06-13,ELITE,798.0,Tuluá,Valle,ACTIVO,APP_MOVIL
CLI0000073,Héctor,García Torres,CC,366637808,1982-10-08,2024-12-26,ESTANDAR,571.0,Pasto,Nariño,ACTIVO,
CLI0000074,Juliana,Herrera Cardona,PP,576746196,1962-08-10,2024-07-24,PREMIUM,686.0,Soacha,Cundinamarca,ACTIVO,PORTAL_WEB
CLI0000075,Paola,Jiménez Díaz,NIT,937661396,1993-11-12,2024-06-21,ESTANDAR,669.0,Pasto,Nariño,ACTIVO,APP_MOVIL
CLI0000076,Daniela,Rodríguez Nieto,CC,551590232,1991-10-15,2024-02-07,BASICO,300.0,Pitalito,Huila,ACTIVO,APP_MOVIL
CLI0000077,María,Nieto Flores,CC,284354894,1976-07-14,2024-10-11,ESTANDAR,477.0,Facatativá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000078,Carlos,Flores Jiménez,CC,523279153,1966-12-28,2024-01-01,ESTANDAR,452.0,Cartagena,Bolívar,ACTIVO,APP_MOVIL
CLI0000079,Alejandro,Gómez Flores,NIT,584329572,1970-06-05,2024-11-30,ESTANDAR,666.0,Facatativá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000080,Juan,García Salcedo,CC,234103149,1985-12-15,2024-01-18,BASICO,,Bogotá,Cundinamarca,ACTIVO,REFERIDO
CLI0000081,Daniela,Torres Cardona,CC,554809741,1984-06-23,2024-03-25,PREMIUM,707.0,Bogotá,Cundinamarca,ACTIVO,PORTAL_WEB
CLI0000082,Claudia,Nieto Martínez,CC,440227933,1970-09-07,2024-12-02,ESTANDAR,713.0,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000083,Sergio,Cardona García,CC,466168362,1969-04-21,2024-07-07,BASICO,450.0,Buenaventura,Valle,ACTIVO,CORRESPONSAL
CLI0000084,Andrés,Ruiz Ramírez,CC,159971346,1972-12-18,2024-09-27,BASICO,420.0,Barranquilla,Atlántico,ACTIVO,
CLI0000085,Carlos,Ruiz Ruiz,CC,691503269,2002-08-24,2024-04-06,BASICO,,Medellín,Antioquia,INACTIVO,REFERIDO
CLI0000086,Luisa,Torres Rivera,CE,799709045,1967-11-04,2024-04-09,BASICO,300.0,Tuluá,Valle,ACTIVO,REFERIDO
CLI0000087,Ana,Vargas Morales,CC,918099159,1997-07-30,2024-11-03,ESTANDAR,463.0,Zipaquirá,Cundinamarca,ACTIVO,FUERZA_VENTAS
CLI0000088,Felipe,Vargas Jiménez,CC,1068691141,1999-09-28,2024-07-07,BASICO,353.0,Itagüí,Antioquia,ACTIVO,CORRESPONSAL
CLI0000089,Paola,Rivera Medina,CC,776877298,2001-05-07,2024-04-07,BASICO,307.0,Soacha,Cundinamarca,ACTIVO,REFERIDO
CLI0000090,Natalia,López Restrepo,CE,1085728215,1988-01-26,2024-09-24,PREMIUM,824.0,Malambo,Atlántico,ACTIVO,APP_MOVIL
CLI0000091,Carlos,Ospina Ortiz,CE,758202539,1991-12-22,2024-06-15,ELITE,802.0,Soacha,Cundinamarca,ACTIVO,REFERIDO
CLI0000092,Laura,Medina Martínez,CC,478987309,1976-07-16,2024-05-29,ESTANDAR,521.0,Buenaventura,Valle,ACTIVO,APP_MOVIL
CLI0000093,Iván,Medina Gómez,CE,419143074,1974-08-06,2024-01-09,BASICO,300.0,Barranquilla,Atlántico,ACTIVO,APP_MOVIL
CLI0000094,Carlos,Medina Martínez,CC,1151605493,1962-06-14,2024-06-20,BASICO,422.0,Bello,Antioquia,ACTIVO,APP_MOVIL
CLI0000095,Héctor,López Nieto,PP,432262320,1972-09-03,2024-04-24,PREMIUM,,Bogotá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000096,Héctor,Romero Jiménez,CC,655413638,1969-07-24,2024-07-21,BASICO,300.0,Zipaquirá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000097,Héctor,Cardona Jiménez,CC,929100055,1985-02-13,2024-07-10,BASICO,,Cartagena,Bolívar,ACTIVO,FUERZA_VENTAS
CLI0000098,Luisa,Romero Pérez,CC,83157293,1998-07-14,2024-09-22,BASICO,313.0,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000099,Melissa,Ramírez Flores,CC,301307836,1984-09-11,2024-11-16,BASICO,442.0,Cartagena,Bolívar,INACTIVO,
CLI0000100,Alejandro,Ospina Herrera,CC,438064255,1982-04-05,2024-04-13,ESTANDAR,583.0,Bucaramanga,Santander,INACTIVO,REFERIDO
CLI0000101,Andrés,Ramírez Muñoz,CC,45764948,1966-04-23,2024-02-29,ESTANDAR,457.0,Neiva,Huila,INACTIVO,APP_MOVIL
CLI0000102,Sergio,Cardona Nieto,CC,982122437,1979-12-30,2024-12-21,ESTANDAR,576.0,Cali,Valle,ACTIVO,APP_MOVIL
CLI0000103,María,Restrepo Díaz,CC,751023406,1989-04-27,2024-05-04,BASICO,509.0,Lorica,Córdoba,ACTIVO,APP_MOVIL
CLI0000104,Juliana,Torres Torres,CC,483050183,1978-11-01,2024-04-15,BASICO,300.0,Lorica,Córdoba,ACTIVO,
CLI0000105,Sergio,Ortiz Ortiz,CC,558708321,1981-05-11,2024-05-23,PREMIUM,620.0,Buenaventura,Valle,ACTIVO,REFERIDO
CLI0000106,Paola,Ruiz Rodríguez,CC,354699264,1974-09-26,2024-07-22,ESTANDAR,579.0,Pitalito,Huila,ACTIVO,FUERZA_VENTAS
CLI0000107,Melissa,Rivera Gómez,CC,888827747,1992-04-16,2024-08-29,BASICO,518.0,Envigado,Antioquia,ACTIVO,CORRESPONSAL
CLI0000108,Sergio,Vásquez Jiménez,CC,317660514,1999-01-02,2024-04-30,ESTANDAR,491.0,Itagüí,Antioquia,ACTIVO,CORRESPONSAL
CLI0000109,Miguel,Pérez González,CE,936000192,1991-07-10,2024-08-30,BASICO,301.0,Cali,Valle,ACTIVO,CORRESPONSAL
CLI0000110,Andrés,Salcedo Salcedo,CC,1153090236,1971-10-31,2024-10-07,BASICO,427.0,Zipaquirá,Cundinamarca,ACTIVO,FUERZA_VENTAS
CLI0000111,Melissa,Nieto Vargas,CC,485614600,1992-01-22,2024-04-03,ESTANDAR,633.0,Palmira,Valle,ACTIVO,REFERIDO
CLI0000112,Natalia,Flores Flores,CC,848540794,1986-03-29,2024-05-12,ELITE,854.0,Tumaco,Nariño,ACTIVO,APP_MOVIL
CLI0000113,Iván,Nieto García,CC,896539915,1977-04-27,2024-11-30,PREMIUM,,Soacha,Cundinamarca,ACTIVO,REFERIDO
CLI0000114,Juliana,Herrera Ruiz,CC,350829621,1970-04-30,2024-08-09,BASICO,409.0,Itagüí,Antioquia,ACTIVO,PORTAL_WEB
CLI0000115,Andrés,Cardona Ramírez,CC,174611593,1975-09-27,2024-01-03,BASICO,436.0,Bogotá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000116,Andrés,Muñoz Salcedo,PP,762866715,1968-04-12,2024-12-12,ESTANDAR,774.0,Villavicencio,Meta,ACTIVO,CORRESPONSAL
CLI0000117,Melissa,Ospina Ruiz,CC,612638360,1980-06-22,2024-11-19,ESTANDAR,438.0,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000118,Luisa,Martínez Vásquez,PP,876133525,1960-01-20,2024-12-29,ELITE,794.0,Palmira,Valle,ACTIVO,REFERIDO
CLI0000119,Cristian,Vásquez Ospina,CE,1124417921,1962-03-18,2024-05-14,BASICO,456.0,Medellín,Antioquia,ACTIVO,CORRESPONSAL
CLI0000120,Daniela,Muñoz Salcedo,CC,124353326,1967-03-14,2024-06-28,PREMIUM,708.0,Floridablanca,Santander,ACTIVO,
CLI0000121,Natalia,Rivera Díaz,CE,417223652,1960-01-09,2024-02-01,PREMIUM,685.0,Bogotá,Cundinamarca,ACTIVO,PORTAL_WEB
CLI0000122,Sergio,Morales Castillo,CC,887979091,1983-10-14,2024-07-16,PREMIUM,810.0,Cartagena,Bolívar,ACTIVO,REFERIDO
CLI0000123,Valentina,Díaz Gómez,CC,914080243,1979-12-25,2024-04-23,BASICO,356.0,Girón,Santander,ACTIVO,APP_MOVIL
CLI0000124,Yolanda,Díaz Pérez,CC,543988113,1962-08-18,2024-05-25,ELITE,821.0,Cartagena,Bolívar,ACTIVO,FUERZA_VENTAS
CLI0000125,Diego,Ramírez Gómez,CC,897640177,1968-04-08,2024-08-13,ESTANDAR,529.0,Ipiales,Nariño,ACTIVO,CORRESPONSAL
CLI0000126,Mauricio,Ramírez Torres,CC,508200743,1982-10-24,2024-01-19,ESTANDAR,397.0,Facatativá,Cundinamarca,ACTIVO,REFERIDO
CLI0000127,Laura,Díaz Vásquez,CC,441165228,1971-08-22,2024-02-18,BASICO,468.0,,Antioquia,ACTIVO,PORTAL_WEB
CLI0000128,Miguel,Medina Cardona,CC,1123294912,1993-06-17,2024-03-03,PREMIUM,822.0,Cali,Valle,ACTIVO,REFERIDO
CLI0000129,Diego,López Jiménez,CC,102574904,1989-03-21,2024-01-10,BASICO,300.0,Soacha,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000130,Claudia,Romero Jiménez,CE,48459376,1970-07-03,2024-01-21,BASICO,423.0,Medellín,Antioquia,ACTIVO,APP_MOVIL
CLI0000131,Iván,Gómez López,CC,985572541,1979-10-10,2024-08-14,BASICO,505.0,Zipaquirá,Cundinamarca,BLOQUEADO,APP_MOVIL
CLI0000132,Iván,Salcedo Pérez,PP,397978932,1973-12-05,2024-06-20,ESTANDAR,595.0,Medellín,Antioquia,ACTIVO,FUERZA_VENTAS
CLI0000133,Juliana,Flores Sánchez,CC,239917903,1994-08-17,2024-05-25,ESTANDAR,552.0,Bello,Antioquia,ACTIVO,REFERIDO
CLI0000134,Sergio,Ospina Salcedo,CC,929800625,1977-07-28,2024-06-09,ESTANDAR,517.0,Itagüí,Antioquia,ACTIVO,REFERIDO
CLI0000135,Yolanda,Rivera Martínez,CC,460525417,1972-07-09,2024-08-29,ESTANDAR,499.0,Bello,Antioquia,ACTIVO,CORRESPONSAL
CLI0000136,Ricardo,Vargas Ospina,NIT,720899489,1969-03-23,2024-10-12,PREMIUM,690.0,Envigado,Antioquia,ACTIVO,APP_MOVIL
CLI0000137,Claudia,Romero Rodríguez,CC,1096980116,1976-11-16,2024-02-08,ESTANDAR,551.0,Pitalito,Huila,ACTIVO,CORRESPONSAL
CLI0000138,Daniela,Restrepo Arango,CE,453942098,1970-04-19,2024-06-30,ESTANDAR,554.0,Magangué,Bolívar,ACTIVO,APP_MOVIL
CLI0000139,Alejandro,Martínez Arango,CE,1023295811,1993-04-27,2024-02-24,ESTANDAR,617.0,Soacha,Cundinamarca,ACTIVO,PORTAL_WEB
CLI0000140,Ana,Castillo Díaz,CC,1178751712,1965-01-16,2024-02-07,PREMIUM,760.0,,Antioquia,ACTIVO,APP_MOVIL
CLI0000141,Sandra,Ortiz Flores,CE,88613410,1965-02-02,2024-11-18,PREMIUM,732.0,Medellín,Antioquia,ACTIVO,REFERIDO
CLI0000142,Sandra,Romero González,CC,57713061,1984-12-05,2024-02-29,ESTANDAR,548.0,Barranquilla,Atlántico,ACTIVO,APP_MOVIL
CLI0000143,Felipe,Pérez Jiménez,CC,503733974,1968-02-08,2024-06-29,BASICO,470.0,,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000144,Felipe,Rodríguez Sánchez,PP,646174893,1998-01-07,2024-08-20,ESTANDAR,584.0,Tumaco,Nariño,INACTIVO,APP_MOVIL
CLI0000145,Claudia,Gómez Cardona,CC,346380480,1972-12-22,2024-07-10,BASICO,444.0,Soledad,Atlántico,ACTIVO,APP_MOVIL
CLI0000146,Sandra,Herrera Nieto,NIT,85109432,1962-12-23,2024-12-01,ESTANDAR,529.0,Medellín,Antioquia,ACTIVO,APP_MOVIL
CLI0000147,Juan,Castillo Ospina,PP,746741740,2001-06-20,2024-03-14,PREMIUM,776.0,,Cundinamarca,INACTIVO,APP_MOVIL
CLI0000148,Diego,Nieto Herrera,CC,848757604,1972-11-27,2024-07-18,ESTANDAR,573.0,Girón,Santander,ACTIVO,APP_MOVIL
CLI0000149,Juan,Ortiz Herrera,NIT,738542999,1976-11-01,2024-02-11,BASICO,426.0,,Antioquia,ACTIVO,APP_MOVIL
CLI0000150,Diego,Muñoz Nieto,CC,679971455,2001-12-15,2024-10-26,ESTANDAR,596.0,Soacha,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000151,Juliana,Romero Restrepo,CC,250222029,1966-05-22,2024-07-27,PREMIUM,752.0,,Cundinamarca,ACTIVO,PORTAL_WEB
CLI0000152,Juan,Romero Arango,CC,397445972,1974-12-17,2024-02-11,BASICO,,Neiva,Huila,ACTIVO,APP_MOVIL
CLI0000153,Miguel,Sánchez Restrepo,CC,869069067,1967-12-25,2024-08-27,ESTANDAR,615.0,Zipaquirá,Cundinamarca,INACTIVO,APP_MOVIL
CLI0000154,Laura,Torres Nieto,CC,619991409,1981-05-26,2024-07-13,ESTANDAR,514.0,Facatativá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000155,Daniela,Nieto García,CE,346586644,1970-05-06,2024-03-24,ESTANDAR,573.0,Buenaventura,Valle,ACTIVO,PORTAL_WEB
CLI0000156,Paola,Cardona Restrepo,CC,760967876,1992-02-23,2024-10-13,ESTANDAR,540.0,Buenaventura,Valle,ACTIVO,CORRESPONSAL
CLI0000157,Sergio,Rodríguez Gómez,CC,643592594,1975-12-13,2024-08-07,PREMIUM,703.0,,Huila,ACTIVO,APP_MOVIL
CLI0000158,Melissa,Torres Castillo,NIT,141761867,1976-01-30,2024-08-17,ESTANDAR,534.0,Bogotá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000159,Óscar,Cardona Pérez,CC,579301861,1982-10-06,2024-03-10,PREMIUM,762.0,Soacha,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000160,Ricardo,Jiménez Medina,CC,702083179,1965-06-21,2024-09-15,ESTANDAR,521.0,Soacha,Cundinamarca,ACTIVO,REFERIDO
CLI0000161,Diego,Medina Rivera,CC,476551426,1971-11-27,2024-03-29,BASICO,426.0,Magangué,Bolívar,ACTIVO,
CLI0000162,Natalia,Salcedo Ramírez,CC,80256657,1965-08-17,2024-01-06,BASICO,300.0,Soacha,Cundinamarca,ACTIVO,REFERIDO
CLI0000163,Miguel,Salcedo Vargas,CC,951827270,1986-10-25,2024-12-31,ESTANDAR,531.0,Magangué,Bolívar,ACTIVO,APP_MOVIL
CLI0000164,Sergio,Díaz Cardona,CC,858381784,1981-04-03,2024-06-29,ESTANDAR,628.0,Bello,Antioquia,ACTIVO,PORTAL_WEB
CLI0000165,Luisa,Jiménez Gómez,CC,329021274,1988-09-20,2024-11-15,PREMIUM,767.0,Villavicencio,Meta,INACTIVO,APP_MOVIL
CLI0000166,Paola,Romero Arango,CC,1002603861,1972-09-27,2024-03-19,BASICO,,Palmira,Valle,ACTIVO,APP_MOVIL
CLI0000167,Ana,Torres Vásquez,CC,510119928,1994-12-01,2024-12-24,PREMIUM,711.0,Bogotá,Cundinamarca,ACTIVO,FUERZA_VENTAS
CLI0000168,Sandra,Restrepo Romero,CC,928500718,1960-03-24,2024-06-06,ESTANDAR,552.0,Bogotá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000169,Yolanda,Muñoz Vargas,CC,923467562,1984-07-23,2024-05-13,BASICO,495.0,Facatativá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000170,Natalia,Medina Gómez,CC,1035559156,1970-03-04,2024-03-10,BASICO,363.0,,Antioquia,ACTIVO,FUERZA_VENTAS
CLI0000171,Claudia,Martínez Gómez,CC,502721791,1977-05-06,2024-03-29,BASICO,314.0,Itagüí,Antioquia,ACTIVO,APP_MOVIL
CLI0000172,Ricardo,Ospina Díaz,CC,326576738,1970-03-26,2024-04-15,PREMIUM,682.0,Bello,Antioquia,ACTIVO,APP_MOVIL
CLI0000173,Diego,Ramírez Rodríguez,CC,946077116,1977-04-15,2024-12-06,PREMIUM,725.0,Pitalito,Huila,ACTIVO,APP_MOVIL
CLI0000174,Laura,Rodríguez Cardona,CC,1042234011,1986-05-31,2024-11-07,PREMIUM,827.0,Lorica,Córdoba,ACTIVO,CORRESPONSAL
